SKU_ID,Product_Name,Category_ID,Product_Type,Shelf_Life,COGS,Product_Price
SB-GRO001,Pringles Cheesy Cheese Keripik 102gr,GRO-SD01,Key,> 180 Days,20000,26000
SB-GRO002,Qtela Kerupuk Keriting Original 180 gram,GRO-SD01,Key,> 180 Days,7890,10300
SB-GRO003,Cereal SIMBA Choco Chips Bag 1 kg,GRO-SD01,Key,> 180 Days,35764,46500
SB-GRO004,Pocky Biskuit Stik Almond 36 gram,GRO-SD01,Traffics,> 180 Days,6678,7700
SB-GRO005,Monde Serena Snack Gold 50gr,GRO-SD01,Traffics,> 180 Days,3475,4000
SB-GRO006,Monde Genji Strawberry Soft Pie 85gr,GRO-SD01,Traffics,> 180 Days,7512,8700
SB-GRO007,Coca-Cola Original - Botol 1.5lt,GRO-SD01,Traffics,> 180 Days,9401,10900
SB-GRO008,Tebs Tea With Soda Sparkling Mix Fruit Botol 500 ml,GRO-SD01,Traffics,> 180 Days,6577,7600
SB-GRO009,Special Edition Tumbler Vacuum Insulated 316 590ML,GRO-SD01,Quality,> 180 Days,75000,105000
SB-GRO0010,Root Beer Can 330 ml,GRO-SD01,Traffics,> 180 Days,7651,8800
SB-GRO0011,Aqua Air Mineral Botol 1.5 liter,GRO-SD01,Traffics,> 180 Days,4500,5200
SB-GRO0012,AQUA Air Mineral 600ml x 12 botol,GRO-SD01,Niche,> 180 Days,43000,53800
SB-GRO0013,Nestle MILO Coklat Nuggets 25g,GRO-SD01,Traffics,> 180 Days,103123,118600
SB-GRO0014,Delfi Chacha Peanut Chocolate 40 gram,GRO-SD01,Traffics,> 180 Days,7541,8700
SB-GRO0015,Delfi Cokelat Hot Cocoa 3in1 isi 5 pcs x 25 gram,GRO-SD01,Traffics,> 180 Days,15741,18200
SB-GRO0016,ABC Saus Sambal Extra Pedas 380 g,GRO-SD02,Key,> 180 Days,12314,16100
SB-GRO0017,ABC Saus Sambal Extra Pedas 275 ml,GRO-SD02,Key,> 180 Days,11412,14900
SB-GRO0018,Bango Kecap Manis 135Ml,GRO-SD02,Key,> 180 Days,10412,13600
SB-GRO0019,ABC Saus Sambal Asli Jerigen 5.5 kg,GRO-SD02,Niche,> 180 Days,75131,94000
SB-GRO0020,BUMBU RACIK INDOFOOD - BUMBU MASAK INSTAN - Sayur Sop,GRO-SD02,Traffics,> 180 Days,2480,2900
SB-GRO0021,BUMBU RACIK INDOFOOD - BUMBU MASAK INSTAN - Nasi Goreng,GRO-SD02,Traffics,> 180 Days,2480,2900
SB-GRO0022,Lemonilo Alamami Bumbu Masak Praktis Ayam Goreng Lengkuas 40g,GRO-SD02,Traffics,> 180 Days,7560,8700
SB-GRO0023,BUMBU MASAK BAMBOE BULGOGI,GRO-SD02,Traffics,> 180 Days,6751,7800
SB-GRO0024,MUNIK Bumbu Tom Yam Bumbu Masak Instan [130 gr],GRO-SD02,Quality,> 180 Days,47610,66700
SB-GRO0025,Lemonilo Alamami Bumbu Masak Praktis Ayam Goreng Kremes 25g,GRO-SD02,Traffics,> 180 Days,4317,5000
SB-GRO0026,Bango Kecap Manis Pouch 735 ml - Unilever,GRO-SD02,Traffics,> 180 Days,35600,41000
SB-GRO0027,LEE KUM KEE Soy Sauce Dark Premium Kecap Hitam 500 ml,GRO-SD02,Quality,> 180 Days,43124,60400
SB-GRO0028,Tropicana Slim Kecap Asin 200ml - Rendah Garam,GRO-SD02,Traffics,> 180 Days,23465,27000
SB-GRO0029,Sedaap Kecap Manis Kedelai Hitam Spesial 520 ml,GRO-SD02,Traffics,> 180 Days,17541,20200
SB-GRO0030,ABC Terasi Udang 20 x 3.8 g,GRO-SD02,Traffics,> 180 Days,5416,6300
SB-GRO0031,Indomie Goreng Original Mie Instan 85 gram,GRO-SD03,Key,> 180 Days,2345,3100
SB-GRO0032,Indomie Rebus Soto Mie Instan 70 gram,GRO-SD03,Key,> 180 Days,2243,3000
SB-GRO0033,Indomie Rebus Kari Ayam Mie Instan 72 gram,GRO-SD03,Key,> 180 Days,2243,3000
SB-GRO0034,Indomie Japanese Miso Ramen,GRO-SD03,Traffics,> 180 Days,5412,6300
SB-GRO0035,1 ctn - Indomie Kaldu Ayam 75 gr,GRO-SD03,Niche,> 180 Days,108712,135900
SB-GRO0036,Nongshim Chapagetti 140 Gr,GRO-SD03,Quality,> 180 Days,20300,28500
SB-GRO0037,San Remo Pasta Panne Original Gluten Free 350 gram,GRO-SD03,Quality,> 180 Days,40300,56500
SB-GRO0038,Cassava Pasta Mac and Cheese,GRO-SD03,Traffics,> 180 Days,23400,27000
SB-GRO0039,La Fonte Lasagna Sheets - 230 gram,GRO-SD03,Traffics,> 180 Days,18700,21600
SB-GRO0040,Mie Korea Gluten Free Ladang Lima 94gr - Instant Korean Noodle,GRO-SD03,Traffics,> 180 Days,7500,8700
SB-GRO0041,La Fonte Penne Ziti Rigate Pasta 450 gram,GRO-SD03,Traffics,> 180 Days,16500,19000
SB-GRO0042,Pop Mie Rasa Ayam Bawang Jumbo,GRO-SD03,Traffics,> 180 Days,4500,5200
SB-GRO0043,Pop Mie Mie Instan Baso Sapi Mini Cup 35 gram,GRO-SD03,Traffics,> 180 Days,3400,4000
SB-GRO0044,Bogasari Segitiga Biru Premium Tepung Terigu 1 kg,GRO-SD02,Traffics,> 180 Days,10200,11800
SB-GRO0045,Sasa Tepung Bumbu Serbaguna Original Fortified 210 gram,GRO-SD02,Traffics,> 180 Days,6700,7800
SB-GRO0046,Sumo Merah Beras Putih 5 kg,GRO-SD04,Key,<= 180 Days,57312,74600
SB-GRO0047,Gulaku Tebu Gula Pasir 1 kg,GRO-SD04,Key,> 180 Days,11200,14600
SB-GRO0048,Sania Sawit Minyak Goreng Pouch 2 liter,GRO-SD04,Key,> 180 Days,32100,41800
